index,node,cnt
0,443256,41
1,110138,29
2,463698,19
3,91573,18
4,105573,16
5,106008,14
6,107252,14
7,1236300,13
8,103050,12
9,103012,12
10,111170,12
11,98094,12
12,107423,12
13,103352,11
14,108111,11
15,89656,11
16,109534,11
17,4054009,10
18,91704,10
19,102605,10
20,2400279,9
21,1177555,9
22,103438,9
23,2445310,9
24,105074,9
25,108605,9
26,98542,9
27,1522122,9
28,370469,9
29,106545,9
30,106515,9
31,111620,9
32,770803,9
33,111722,9
34,165702,9
35,103301,8
36,101031,8
37,96405,8
38,100708,8
39,4059716,8
40,105382,8
41,85412,8
42,104321,8
43,107729,8
44,106285,8
45,104716,8
46,106641,8
47,106598,8
48,106845,8
49,397156,8
50,109309,8
51,100567,8
52,109382,8
53,103311,7
54,107938,7
55,373791,7
56,387362,7
57,106761,7
58,102804,7
59,102372,7
60,1571353,7
61,106345,7
62,406158,7
63,109009,7
64,106170,7
65,103597,7
66,109631,7
67,98441,7
68,2383645,7
69,85330,7
70,106862,6
71,97374,6
72,375896,6
73,106497,6
74,111984,6
75,2429802,6
76,2449770,6
77,107715,6
78,104646,6
79,108786,6
80,102189,6
81,89446,6
82,2620886,6
83,107025,6
84,2620807,6
85,107038,6
86,107014,6
87,107717,6
88,111020,6
89,109693,6
90,100233,6
91,102139,6
92,97242,6
93,2342289,6
94,109561,6
95,105511,6
96,105142,6
97,2443077,6
98,111838,6
99,2455822,6
100,104316,6
101,107359,6
102,104952,6
103,104856,6
104,106366,6
105,112682,6
106,1782385,6
107,104374,5
108,108377,5
109,145708,5
110,1200229,5
111,91057,5
112,108421,5
113,108284,5
114,108567,5
115,108800,5
116,108713,5
117,103855,5
118,2462780,5
119,109301,5
120,110424,5
121,103694,5
122,109665,5
123,103770,5
124,109186,5
125,94515,5
126,89858,5
127,94508,5
128,103979,5
129,103201,5
130,103987,5
131,108609,5
132,108182,5
133,107691,5
134,108115,5
135,104943,5
136,106451,5
137,105746,5
138,106544,5
139,2388306,5
140,1742633,5
141,106282,5
142,105742,5
143,108153,5
144,105721,5
145,103347,5
146,102795,5
147,109881,5
148,105547,5
149,105517,5
150,104681,5
151,106548,5
152,90039,5
153,106997,5
154,106984,5
155,1670188,5
156,92076,5
157,107200,5
158,104521,5
159,107492,5
160,108263,5
161,107731,5
162,104385,5
163,107913,5
164,103944,5
165,107962,5
166,108189,5
167,91122,5
168,85272,5
169,1527473,5
170,110933,5
171,111301,5
172,110929,5
173,101741,5
174,101764,5
175,103518,5
176,103226,5
177,110235,5
178,101864,5
179,112903,5
180,112206,5
181,111719,5
182,110377,5
183,2436853,5
184,111302,5
185,110763,5
186,110641,5
187,91054,5
188,109924,5
189,1786971,5
190,102991,5
191,111262,5
192,109767,5
193,99296,5
194,102879,5
195,112296,5
196,96889,5
197,111169,5
198,111148,5
199,109935,5
200,103355,5
201,102604,5
202,99506,5
203,103632,5
204,628328,4
205,106881,4
206,118188,4
207,111423,4
208,106865,4
209,1520336,4
210,106601,4
211,106591,4
212,1869722,4
213,106850,4
214,1742776,4
215,686833,4
216,111259,4
217,111203,4
218,111221,4
219,1087667,4
220,106935,4
221,107163,4
222,111303,4
223,107262,4
224,105289,4
225,106395,4
226,117837,4
227,108281,4
228,1773413,4
229,107411,4
230,145122,4
231,111869,4
232,109643,4
233,109670,4
234,1485311,4
235,105825,4
236,105497,4
237,105659,4
238,105594,4
239,2373973,4
240,111834,4
241,111953,4
242,105409,4
243,108530,4
244,111712,4
245,112325,4
246,111513,4
247,112291,4
248,106354,4
249,111662,4
250,1444734,4
251,106383,4
252,111166,4
253,112906,4
254,103492,4
255,2461826,4
256,85797,4
257,112904,4
258,106249,4
259,106085,4
260,105889,4
261,111727,4
262,105749,4
263,107488,4
264,107684,4
265,107486,4
266,2443840,4
267,109964,4
268,2059288,4
269,2871,4
270,1633997,4
271,343137,4
272,109091,4
273,108898,4
