Id,index,sbm_0,sbm_1,sbm_2,sbm_3
1,0,0,0,0,0
2,1,1,1,1,0
3,2,1,1,2,0
4,3,2,2,0,0
5,4,3,2,0,0
6,5,4,1,0,0
7,6,5,3,0,0
8,7,6,4,0,0
9,8,7,2,0,0
10,9,0,4,0,0
11,10,1,3,0,0
12,11,8,0,0,0
13,12,9,1,0,0
14,13,0,3,0,0
15,14,2,0,0,0
16,15,1,0,0,0
17,16,10,0,0,0
18,17,1,0,0,0
19,18,11,0,0,0
20,19,12,0,0,0
21,20,0,0,0,0
22,21,6,0,0,0
23,22,8,0,0,0
24,23,7,0,0,0
25,24,2,0,0,0
26,25,7,0,0,0
27,26,2,0,0,0
28,27,4,0,0,0
29,28,6,0,0,0
30,29,8,0,0,0
31,30,0,0,0,0
32,31,7,0,0,0
33,32,11,0,0,0
34,33,7,0,0,0
35,34,4,0,0,0
36,35,11,0,0,0
37,36,1,0,0,0
38,37,9,0,0,0
39,38,9,0,0,0
40,39,2,0,0,0
41,40,11,0,0,0
42,41,2,0,0,0
43,42,11,0,0,0
44,43,1,0,0,0
45,44,11,0,0,0
46,45,1,0,0,0
47,46,3,0,0,0
48,47,12,0,0,0
49,48,0,0,0,0
50,49,1,0,0,0
51,50,8,0,0,0
52,51,4,0,0,0
53,52,11,0,0,0
54,53,6,0,0,0
55,54,1,0,0,0
56,55,0,0,0,0
57,56,1,0,0,0
58,57,4,0,0,0
59,58,4,0,0,0
60,59,12,0,0,0
61,60,8,0,0,0
62,61,12,0,0,0
63,62,12,0,0,0
64,63,4,0,0,0
65,64,11,0,0,0
66,65,8,0,0,0
67,66,4,0,0,0
68,67,4,0,0,0
69,68,1,0,0,0
70,69,9,0,0,0
71,70,1,0,0,0
73,71,4,0,0,0
74,72,4,0,0,0
75,73,4,0,0,0
76,74,1,0,0,0
77,75,11,0,0,0
78,76,11,0,0,0
79,77,1,0,0,0
80,78,0,0,0,0
81,79,1,0,0,0
82,80,1,0,0,0
83,81,3,0,0,0
84,82,10,0,0,0
85,83,1,0,0,0
86,84,6,0,0,0
87,85,11,0,0,0
88,86,11,0,0,0
89,87,1,0,0,0
90,88,5,0,0,0
91,89,2,0,0,0
92,90,0,0,0,0
93,91,8,0,0,0
94,92,5,0,0,0
95,93,3,0,0,0
96,94,7,0,0,0
97,95,6,0,0,0
98,96,1,0,0,0
99,97,7,0,0,0
100,98,8,0,0,0
101,99,13,0,0,0
102,100,1,0,0,0
103,101,12,0,0,0
104,102,7,0,0,0
105,103,0,0,0,0
106,104,3,0,0,0
107,105,1,0,0,0
108,106,3,0,0,0
109,107,7,0,0,0
110,108,4,0,0,0
111,109,8,0,0,0
112,110,4,0,0,0
113,111,9,0,0,0
114,112,7,0,0,0
115,113,8,0,0,0
116,114,12,0,0,0
117,115,2,0,0,0
119,116,12,0,0,0
120,117,10,0,0,0
121,118,12,0,0,0
122,119,11,0,0,0
123,120,7,0,0,0
124,121,9,0,0,0
125,122,7,0,0,0
126,123,11,0,0,0
127,124,5,0,0,0
128,125,1,0,0,0
129,126,4,0,0,0
130,127,10,0,0,0
131,128,2,0,0,0
132,129,0,0,0,0
133,130,12,0,0,0
134,131,6,0,0,0
135,132,5,0,0,0
136,133,12,0,0,0
137,134,12,0,0,0
138,135,1,0,0,0
139,136,11,0,0,0
140,137,1,0,0,0
141,138,5,0,0,0
142,139,2,0,0,0
143,140,0,0,0,0
144,141,12,0,0,0
145,142,4,0,0,0
146,143,9,0,0,0
147,144,4,0,0,0
148,145,4,0,0,0
149,146,10,0,0,0
150,147,11,0,0,0
151,148,12,0,0,0
152,149,7,0,0,0
153,150,0,0,0,0
154,151,3,0,0,0
155,152,1,0,0,0
156,153,8,0,0,0
157,154,1,0,0,0
158,155,1,0,0,0
159,156,7,0,0,0
160,157,1,0,0,0
161,158,8,0,0,0
162,159,4,0,0,0
163,160,8,0,0,0
164,161,4,0,0,0
165,162,12,0,0,0
166,163,8,0,0,0
167,164,1,0,0,0
168,165,13,0,0,0
169,166,8,0,0,0
170,167,8,0,0,0
171,168,7,0,0,0
172,169,12,0,0,0
173,170,8,0,0,0
174,171,1,0,0,0
175,172,12,0,0,0
176,173,1,0,0,0
177,174,12,0,0,0
178,175,7,0,0,0
179,176,4,0,0,0
180,177,1,0,0,0
181,178,1,0,0,0
182,179,4,0,0,0
183,180,2,0,0,0
184,181,10,0,0,0
